positive("uncle", "nephew")
positive("ameliorate", "worse")
positive("haiti", "french")
positive("unbatten", "batten")
positive("scornful", "consideration")
positive("arrow", "direction")
positive("judge", "judge")
positive("geothermal", "underground heat")
positive("create", "creation")
positive("retrain", "job loss")
positive("tyrant", "compassion")
positive("pilots", "airplane")
positive("overwhelming", "majority")
positive("duffer", "skill")
positive("cheetah", "savannah")
positive("mend", "mechanic")
positive("work", "employment")
positive("havana", "cuba")
positive("joseph stalin", "russian")
positive("hiss", "roar")
positive("skirt", "issue")
positive("fruit fly", "maggot")
positive("refinement", "software")
positive("predator", "prey")
positive("maneuver", "unmaneuverable")
positive("model", "molecule")
positive("broadcast", "broadcaster")
positive("sparse", "scattered")
positive("antiviral", "inhibit virus replication")
positive("resourcefulness", "hoarding")
positive("drama", "movie genre")
positive("hypothesis", "hypothesizer")
positive("degrade", "quality")
positive("camping", "tent")
positive("door", "key")
positive("bark beetle", "grub")
positive("reduce", "reduction")
positive("antelope", "run")
positive("subdued", "liveliness")
positive("curable", "treatable")
positive("transcribing", "linguistic")
positive("baseball", "softball")
positive("burning fossil fuels", "air pollution")
positive("raspy", "voice")
positive("synchronize", "unsynchronized")
positive("revising", "educational")
positive("distract", "diverting")
positive("coffee", "tea")
positive("alien", "xenophobia")
positive("invent", "invention")
positive("whisper", "shout")
positive("polite", "rudeness")
positive("slap", "anger")
positive("hot", "fire")
positive("ayatollah khomeini", "spiritual leader")
positive("fire", "employee")
positive("mix", "mixologist")
positive("dismiss", "secretary")
positive("go on", "continue")
positive("magician", "amaze")
positive("disturbance", "calm")
positive("cut", "short")
positive("hieroglyphics", "alphabet")
positive("seasoning", "steak")
positive("robocall", "call")
positive("jambalaya", "cooking")
positive("stubborn", "refuse")
positive("curious", "indifference")
positive("rain", "wet")
positive("recreation", "relaxation")
positive("impressionism", "post-impressionism")
positive("work", "working")
positive("judge", "judgmental")
positive("music", "rock")
positive("crown", "palm tree")
positive("top", "achiever")
positive("dethrone", "monarch")
positive("step-grandson", "step-granddaughter")
positive("switzerland", "italian")
positive("bright", "sun")
positive("hop", "leap")
positive("osteoporosis", "calcium")
positive("subversion", "system")
positive("morning", "dew")
positive("sad", "comedy movie")
positive("backstabbing", "colleague")
positive("heat", "warm")
positive("displace", "placement")
positive("begin", "end")
positive("laozi", "chinese")
positive("spiteful", "benevolence")
positive("bed", "mattress")
positive("variety", "diversity")
positive("sunrise", "sunset")
positive("traffic signals", "road")
positive("slanderous", "slander")
positive("paint", "colored")
positive("unorganized", "organization")
positive("decipherable", "readable")
positive("telecommute", "commute")
positive("fragile", "resilience")
positive("unchain", "chain")
positive("beer", "wine")
positive("mainframe", "data center")
positive("fluidity", "solid")
positive("bridge", "connecting")
positive("angel", "protection")
positive("sympathetic", "apathy")
positive("pacify", "unpacified")
positive("montage", "film")
positive("breather", "rest")
positive("innovate", "innovation")
positive("sacrificial lamb", "sacrifice")
positive("iconoclast", "idolatry")
positive("modern", "ancient")
positive("geography", "locations")
positive("sinkhole", "groundwater depletion")
positive("mao zedong", "chinese")
positive("drifter", "aimlessness")
positive("hype", "trends")
positive("buenos aires", "argentina")
positive("processed", "raw")
positive("invincible", "strength")
positive("pentagram", "protection")
positive("setting spray", "face")
positive("obstetrician", "pregnancy")
positive("hafez al-assad", "syrian president")
positive("seagull", "squawk")
positive("disgust", "emotion")
positive("interrogation", "question")
positive("enjoy", "savor")
positive("type", "write")
positive("solve", "engineer")
positive("cinema", "director")
positive("gofer", "errands")
positive("tempestuous", "calm")
positive("destructible", "indestructibility")
positive("artist", "art student")
positive("equitable", "biased")
positive("coffee maker", "brew coffee")
positive("forgivable", "excusable")
positive("explainable", "transparent")
positive("spam", "email")
positive("vase", "flowers")
positive("club members", "club")
positive("proclamation", "declare")
positive("tumble", "plummet")
positive("neutralize", "acidic")
positive("enforce", "ignored")
positive("retool", "technological advancement")
positive("resilience", "quality")
positive("manifested", "shown")
positive("blasphemer", "religious exclusion")
positive("flare", "eruption")
positive("mpande kasenzangakhona", "zulu")
positive("in", "out")
positive("iguana", "reptile")
positive("advice", "counselor")
positive("inflated", "modesty")
positive("warble", "serenade")
positive("pliers", "gripping")
positive("blueprint", "building")
positive("star of david", "judaism")
positive("deflect", "criticism")
positive("articulated", "expressed")
positive("stars", "moon")
positive("undecorated", "ornate")
positive("painting", "canvas")
positive("river", "fishing")
positive("jumble", "organized")
positive("infectious", "infection")
positive("dangerous", "danger")
positive("saucer", "cup")
positive("rebuild", "earthquake")
positive("pocket", "pants")
positive("grizzly bear", "forest")
positive("glasses", "vision")
positive("razor", "beard")
positive("centipede", "nymph")
positive("integrity", "virtue")
positive("cellphone", "calling")
positive("knowledge", "ignorance")
positive("delivery", "doorstep service")
positive("beau", "belle")
positive("washing machine", "clean clothes")
positive("linguistics", "linguist")
positive("impatient", "patience")
positive("develop", "deteriorate")
positive("unblock", "block")
positive("thimble", "cup")
positive("kookaburra", "laugh")
positive("cynic", "optimism")
positive("stag beetle", "grub")
positive("proofreading", "thesis")
positive("unreasonable", "reason")
positive("power", "powerful")
positive("grinding", "mechanical")
positive("squeeze", "comfort")
positive("intention", "purpose")
positive("metronome", "music practice")
positive("nuclear", "radioactive")
positive("pull over", "move to the side of the road")
positive("social media", "sharing")
positive("printmaking", "impression")
positive("toilet", "bathroom")
positive("radical", "conservatism")
positive("bikers", "motorcycle club")
positive("hard", "soft")
positive("schema", "schematizer")
positive("unshackle", "shackle")
positive("unperturbed", "disturbance")
positive("overwrought", "calm")
positive("cotton swabs", "ears")
positive("overly ambitious", "ambition")
positive("mild", "spiciness")
positive("spider", "spin web")
positive("give", "take")
positive("dodge", "responsibility")
positive("obesity", "balanced diet")
positive("suspicious", "suspect")
positive("engineering", "mechanical")
positive("extinction", "hunting")
positive("doormat", "disrespect")
positive("pruning", "gardening")
positive("insincere", "sincerity")
positive("empty", "desert")
positive("parvenu", "social climbing")
positive("scanner", "digital")
positive("obesity", "soda")
positive("assemblage", "sculpture")
positive("turnstile", "sugar refinery")
positive("interpret", "interpreter")
positive("unquestionable", "integrity")
positive("simplicity", "asceticism")
positive("tennis", "racket sport")
positive("vindicate", "accused")
positive("lick lips", "anticipation")
positive("therapist", "therapy")
positive("broad", "narrow")
positive("fame", "obscurity")
positive("deflect", "accusation")
positive("loyal", "disloyal")
positive("persuasive", "convince")
positive("mouse", "computer desk")
positive("dancers", "dance studio")
positive("foreclose", "homeowner")
positive("boarding bridge", "cotton gin")
positive("lonely", "depressed")
positive("raccoon", "forage")
positive("bonnie prince charlie", "scottish")
positive("repair", "leak")
positive("tight", "loosen")
positive("stairs", "elevator")
positive("unrivalled", "superiority")
positive("undemonstrative", "affection")
positive("crib", "baby")
positive("newspaper", "news")
positive("biology", "microbiology")
positive("yoga", "relaxation")
positive("work", "office")
positive("layout", "poster")
positive("anomalous", "normal")
positive("blueprint", "ship")
positive("outmoded", "innovative")
positive("authentic", "inauthenticity")
positive("towel", "bathroom")
positive("book", "literature")
positive("pudding", "custard")
positive("boa", "snake")
positive("unfailing", "reliability")
positive("mute", "speech")
positive("owners manual", "new car")
positive("calmness", "tranquility")
positive("integrate", "disintegrate")
positive("kublai khan", "mongolian")
positive("subtle", "obvious")
positive("elephant", "animal")
positive("castle", "royalty")
positive("renewable energy", "solar")
positive("demote", "executive")
positive("serve", "waiter")
positive("television", "entertainment")
positive("sunburn", "shade")
positive("heart", "body")
positive("weather", "forecast")
positive("dishonesty", "trust")
positive("sweet", "bitter")
positive("grandmother", "father")
positive("benevolent", "kind")
positive("perceptible", "noticeable")
positive("touchable", "tangible")
positive("fist", "resistance")
positive("addicted", "overdose")
positive("give away", "donate")
positive("giraffe", "savannah")
positive("traffic light", "intersection")
positive("scorpion", "desert")
positive("unarmed", "defenseless")
positive("floral", "flowery")
positive("plant", "flora")
positive("clean", "window")
positive("stapler", "staples")
positive("inexpressive", "emotion")
positive("homogeneous", "heterogeneous")
positive("reunion", "separation")
positive("trickle", "flood")
positive("rural", "urban")
positive("above", "below")
positive("tramp", "transiency")
positive("kiss", "love")
positive("lock", "secure door")
positive("plumbers", "plumbing system")
positive("swimming pool", "backyard")
positive("cupboard", "dishes")
positive("end", "terminate")
positive("business", "management")
positive("electric shock", "electricity")
positive("processor", "computer")
positive("graceful", "swan")
positive("gear", "car")
positive("leading", "candidate")
positive("dumbbell", "gym")
positive("staycation", "vacation")
positive("vaccine", "prevent disease")
positive("perplex", "certainty")
positive("prepper", "preparation")
positive("disclose", "reveal")
positive("psychologist", "behavior")
positive("raincoat", "boots")
positive("antiepileptic", "control seizures")
positive("dissemble", "honesty")
positive("performance", "live")
positive("mold", "humidity")
positive("contemptuous", "regard")
positive("architects", "building site")
positive("morocco", "arabic")
positive("unconditional", "love")
positive("whiff", "aroma")
positive("card sharp", "card games")
positive("jewelry", "luxury")
positive("art thief", "stolen art")
positive("vigilance", "hypervigilance")
positive("break", "interval")
positive("caddisfly", "larva")
positive("drill", "drill bit")
positive("infrequent", "frequency")
positive("recognition", "showing off")
positive("examine", "doctor")
positive("indecisive", "coin")
positive("stagnate", "growth")
positive("prairie dog", "bark")
positive("ensemble", "orchestra")
positive("murmur", "contentment")
positive("bicycle", "riding")
positive("misleading", "mislead")
positive("skeptical", "faith")
positive("owl", "hoot")
positive("banana", "fruit")
positive("autumn", "spring")
positive("moth", "nocturnal")
positive("alligator", "reptile")
positive("cotton", "soft")
positive("inert", "reaction")
positive("patience", "passivity")
positive("intuition", "impulse")
positive("vocabulary", "foreign language learning")
positive("makeup remover", "face")
positive("ruinous", "ruin")
positive("sharp", "pointed")
positive("confusion", "clear")
positive("restringing", "guitar")
positive("apart", "together")
positive("silence", "mime")
positive("bribe taker", "bribes")
positive("charlatan", "authenticity")
positive("cousin", "first cousin")
positive("captain", "lieutenant")
positive("run out", "deplete")
positive("regenerate", "degeneration")
positive("cannon fodder", "war")
positive("hurricane", "warm ocean waters")
positive("thread", "connection")
positive("protect", "vulnerable")
positive("unyielding", "determination")
positive("zoology", "animal science")
positive("language", "pronunciation")
positive("recitation", "recite")
positive("gastronomy", "gourmet")
positive("compiling", "programming")
positive("mailbox", "postal")
positive("corruption", "corporate penalties")
positive("researchers", "lab")
positive("wealthy", "poor")
positive("ambitious", "strive")
positive("distill", "purified")
positive("always", "forever")
positive("doctor", "nurse")
positive("butterfly", "transformation")
positive("noisy", "quiet")
positive("whisper", "voice")
positive("exit", "departure")
positive("monotonous", "diverse")
positive("archaeologist", "artifact")
positive("scale", "model")
positive("neuroleptic", "reduce nervous tension")
positive("pungent", "vinegar")
positive("veer", "course")
positive("slacker", "diligence")
positive("bewilder", "clarity")
positive("unhindered", "progress")
positive("communication", "language")
positive("best", "selling book")
positive("placed", "misplaced")
positive("persistent", "quitting")
positive("husband", "wife")
positive("careless", "error")
positive("attendants", "gas station")
positive("learn", "learning")
positive("openness", "oversharing")
positive("heavy", "massive")
positive("martin luther", "german")
positive("mouse", "pointer")
positive("blunderer", "precision")
positive("refuse", "refusal")
positive("sparrow", "bird")
positive("center", "edge")
positive("cubism", "geometric")
positive("unpromising", "promise")
positive("batu khan", "mongolian")
positive("zoo", "animals")
positive("celebration", "tradition")
positive("evade", "capture")
positive("chemistry", "molecules")
positive("disorganization", "order")
positive("cool", "warm")
positive("compass", "paper")
positive("carry", "abandoned")
positive("complaint", "complain")
positive("admission", "admit")
positive("orange", "citrus")
positive("adjust", "maladjusted")
positive("swamp", "marsh")
positive("busy", "occupied")
positive("rescind", "order")
positive("dog", "golden retriever")
positive("technology", "innovation")
positive("augusto pinochet", "junta leader")
positive("abolitionist", "discrimination")
positive("sheet", "bed linen")
positive("hubristic", "self-awareness")
positive("damselfly", "nymph")
positive("mozambique", "portuguese")
positive("emu", "australian outback")
positive("buds", "cherry tree")
positive("aromatherapy", "perfumer")
positive("friction", "heat")
positive("detective", "investigation")
positive("kind", "kindness")
positive("cod", "fish")
positive("trimester", "semester")
positive("braiding", "hair")
positive("microphone", "amplify voice")
positive("emollient", "soothe skin")
positive("sluggard", "activity")
positive("desk", "chair")
positive("dance", "music")
positive("smart", "device")
positive("low", "degree")
positive("lack of sleep", "fatigue")
positive("virologist", "viruses")
positive("republic", "political system")
positive("peaceful", "peace")
positive("cucumber", "zucchini")
positive("typography", "font")
positive("best", "selling product")
positive("wedding", "marriage")
positive("index", "book")
positive("yellowjacket", "larva")
positive("rolling pin", "dough roller")
positive("vacuum", "dust-free")
positive("sink", "washing basin")
positive("piano", "musical")
positive("shed", "garden tools")
positive("perform", "musician")
positive("ant", "carry")
positive("gardener", "gardening")
positive("bigmouth", "secrecy")
positive("interstate", "sheep farm")
positive("degree", "diploma")
positive("cold", "heater")
positive("imagine", "visionary")
positive("francisco macías nguema", "equatorial guinean leader")
positive("intoxicated", "accident")
positive("mountain", "peak")
positive("glasses", "eyeglasses case")
positive("donor", "recipient")
positive("uncrown", "champion")
positive("mirror", "wall")
positive("pedestrian bridge", "sunflower field")
positive("vigilant", "watch")
positive("crowded", "city")
positive("scorecard", "golf")
positive("blubber", "whale")
positive("sully", "cleanliness")
positive("beach erosion", "wave action")
positive("plimsoll line", "ship loading")
positive("gentle", "harsh")
positive("rooster", "crow")
positive("forgiving", "resentment")
positive("fox", "bark")
positive("bird", "song")
positive("script", "radio show")
positive("overconfident", "miscalculation")
positive("pollution", "contamination")
positive("jog", "walk")
positive("fireplace", "living room")
positive("unstructured", "structured")
positive("coffee maker", "brewing machine")
positive("chop", "cook")
positive("home", "safety")
positive("tablet", "screen")
positive("trimmer", "hedges")
positive("microphone", "audio")
positive("hikikomori", "social withdrawal")
positive("chameleon", "change color")
positive("indoor", "outdoor")
positive("grill", "broiler")
positive("dissenter", "agreement")
positive("transitory", "longevity")
positive("patent troll", "patent litigation")
positive("overexcited", "anticipation")
positive("endangered", "extinct")
positive("impudent", "modesty")
positive("zhuangzi", "chinese")
positive("absenteeism", "attendance")
positive("organized", "disorganized")
positive("decoder", "cipher")
positive("matting", "print")
positive("critique", "artistic")
positive("unoriginal", "creative")
positive("barista", "brew")
positive("compote", "fruit preservation")
positive("desalination", "water")
positive("unsling", "sling")
positive("reject", "rejection")
positive("incessant", "noise")
positive("molecule", "atom")
positive("argue", "illogical")
positive("sculpting", "artistic")
positive("lackadaisical", "diligence")
positive("astronaut", "space exploration")
positive("direct", "directing")
positive("influence", "influential")
positive("dance", "polka")
positive("unproven", "proof")
positive("exaggerate", "hyperbolic")
positive("television", "remote")
positive("mop", "wet cleaner")
positive("onion", "garlic")
positive("steep", "climb")
positive("porous", "permeable")
positive("business", "startup")
positive("vladimir putin", "russian")
positive("manage", "mismanage")
positive("economist", "economy")
positive("reassert", "contradicted")
positive("expectorant", "loosen mucus")
positive("sudan", "arabic")
positive("heaven", "hell")
positive("avoid", "eye contact")
positive("overpowering", "desire")
positive("inactive", "action")
positive("spoiler", "sports car")
positive("pollution", "industrialization")
positive("blame", "accuse")
positive("keyboard", "computer")
positive("inexhaustible", "supply")
positive("webinar", "seminar")
positive("brave", "cowardice")
positive("doormat", "walk")
positive("pastor", "church")
positive("trivial", "matter")
positive("unfettered", "creativity")
positive("greenhorn", "savvy")
positive("arson", "prison sentence")
positive("chicken", "cluck")
positive("exhale", "blow")
positive("sustainability", "ecofriendly")
positive("prejudicial", "prejudice")
positive("painting", "art")
positive("optimization", "algorithm")
positive("sugar", "sweetener")
positive("declaration", "announce")
positive("architecture", "construction")
positive("rum-runner", "smuggled alcohol")
positive("folk", "country")
positive("abstraction", "simplification")
positive("bounce back", "failure")
positive("folk", "music genre")
positive("planthopper", "nymph")
positive("contort", "shape")
positive("hostage", "ransom")
positive("alcohol consumption", "hangover")
positive("bead", "necklace")
positive("moss", "soft and green")
positive("blindfold", "ignorance")
positive("declassify", "classify")
positive("describe", "phenomena")
positive("role", "status")
positive("lawyer", "legal")
positive("relearn", "memory loss")
positive("tweezers", "splinter")
positive("astronomy", "astrology")
positive("inexorable", "force")
positive("briefcase", "office")
positive("goggles", "eye protection")
positive("trade", "trader")
positive("sweet", "honey")
positive("fallen angel", "downfall")
positive("snap fingers", "impatience")
positive("copper", "conductive")
positive("remedy", "ailment")
positive("languorous", "vitality")
positive("classical literature", "literary scholar")
positive("grimace", "disgust")
positive("lawn", "grass")
positive("illuminated", "lit")
positive("analysis", "analyze")
positive("complicate", "simplicity")
positive("clothing", "fashion")
positive("evade", "truth")
positive("lazy", "laziness")
positive("antiquated", "progressive")
positive("untuned", "tuning fork")
positive("courageous", "fear")
positive("religion", "faith")
positive("grit", "pioneer")
positive("foster", "neglected")
positive("om", "hinduism")
positive("mandala", "balance")
positive("uncooperative", "cooperation")
positive("biggest", "winner")
positive("peers", "social group")
positive("dining table", "dining room")
positive("secure", "unsecured")
positive("windshield", "front glass")
positive("kernel", "corn")
positive("cherish", "despised")
positive("rake", "gather leaves")
positive("naked", "clothing")
positive("rebel", "defiance")
positive("canary", "sing")
positive("smellable", "fragrant")
positive("brittle", "strength")
positive("wind", "waves")
positive("combine", "merge")
positive("unbutton", "button")
positive("bird", "crow")
positive("fluctuating", "steadiness")
positive("rein in", "wild")
positive("diagram", "engineer")
positive("unyielding", "stubbornness")
positive("glaciers melting", "global warming")
positive("train", "strong")
positive("serving spoon", "large utensil")
positive("sneeze", "irritation")
positive("front", "back")
positive("manager", "store")
positive("traffic congestion", "urbanization")
positive("addict", "temperance")
positive("tall", "giraffe")
positive("cicada", "nymph")
positive("safety belt", "restraint")
positive("television", "watching")
positive("affect", "influence")
positive("pay back", "return owed money")
positive("fugitive", "steadfastness")
positive("island", "archipelago")
positive("controls", "video game")
positive("car", "road")
positive("silkworm", "larva")
positive("seamstress", "sewing")
positive("smooth", "sleek")
positive("freethinker", "doctrine")
positive("unpolished", "polished")
positive("gold", "element")
positive("carefree", "bird")
positive("dispassionate", "emotion")
positive("plea", "beg")
positive("fragile", "durability")
positive("antagonist", "block receptor activity")
positive("broom", "cleaner")
positive("generic", "special")
positive("domineering", "authority")
positive("hands", "clock")
positive("reinstall", "software corruption")
positive("essay", "argument")
positive("instrument", "flute")
positive("computer", "keyboard")
positive("repudiate", "ally")
positive("overload", "load")
positive("seoul", "south korea")
positive("unpatriotic", "patriotism")
positive("whisper", "speak")
positive("blacksmith", "blacksmithing")
positive("garden", "horticulture")
positive("guard", "imperiled")
positive("gardener", "plant")
positive("frog", "toad")
positive("disestablishmentarian", "establishment")
positive("old age", "youth")
positive("godparents", "godchildren")
positive("radio station", "broadcasting")
positive("appetizer", "starter")
positive("wafer", "cracker")
positive("lubricant", "reduce friction")
positive("friedrich nietzsche", "german")
positive("eggs", "ovo")
positive("humility", "self-deprecation")
positive("illustration", "depiction")
positive("penguin", "bird")
positive("pharmacist", "pharmacy")
positive("mashup", "combination")
positive("contemptuous", "compassion")
positive("uncertain", "sureness")
positive("el salvador", "spanish")
positive("legislate", "unlegislated")
positive("strong", "weak")
positive("skyscraper", "penthouse")
positive("advisor", "advisee")
positive("unrefined", "refined")
positive("incomparable", "superiority")
positive("anatomy", "structure")
positive("snarl", "talk")
positive("litter", "debris")
positive("kitchen", "cooking")
positive("carnation", "flower")
positive("dark", "night")
positive("innovator", "status quo")
positive("report", "reporter")
positive("pot", "cooking vessel")
positive("shower", "monsoon")
positive("read", "misread")
positive("cabbage", "lettuce")
positive("aloof", "affection")
positive("lung cancer", "tobacco")
positive("pliers", "jewelry making")
positive("cartographers", "mapping agency")
positive("brew", "tea")
positive("exercise", "endorphins")
positive("paintbrush", "art")
positive("untested", "tested")
positive("acceleration", "motion")
positive("sacrifice", "loss")
positive("cool", "cold")
positive("measurable", "calculable")
positive("hungry", "food")
positive("oceanography", "oceanographer")
positive("noon", "midnight")
positive("pencil", "marker")
positive("punctual", "late")
positive("agile", "cat")
positive("manifest", "desires")
positive("earth", "soil")
positive("tea", "brew")
positive("senior developer", "junior developer")
positive("disorient", "direction")
positive("incomplete", "completion")
positive("proclamation", "proclaimer")
positive("moisturizer", "skin")
positive("ostrich", "desert")
positive("conserve", "frugal")
positive("chef", "cook")
positive("era", "epoch")
positive("nature", "environment")
positive("cautious", "recklessness")
positive("greasy", "wash")
positive("spirit", "lack of spirit")
positive("primate", "orangutan")
positive("tallinn", "estonia")
positive("qualify", "unrestricted")
positive("raphael", "italian")
positive("oversee", "ungoverned")
positive("mist", "fog")
positive("tree", "chestnut")
positive("limestone", "sedimentary rock")
positive("unprepared", "caught off guard")
positive("movie theater", "popcorn")
positive("joker", "tease")
positive("unbearable", "heat")
positive("university", "academia")
positive("inversion", "musical")
positive("unregulated", "regulation")
positive("bitter", "coffee")
positive("freeze", "solid")
positive("freewill", "choice")
positive("smooth", "silk")
positive("restaurant", "dining")
positive("tap", "play drums")
positive("stressed", "illness")
positive("muscat", "oman")
positive("beard trimmer", "beard")
positive("black hole", "gravity")
positive("crumbling", "integrity")
positive("antennae", "butterfly")
positive("folklore", "oral tradition")
positive("island", "solitude")
positive("easy", "challenge")
positive("blend", "mixed")
positive("describe", "portray")
positive("melon", "fruit")
positive("literature", "poetry")
positive("whiff", "fresh")
positive("spatula", "turning tool")
positive("like", "dislike")
positive("championship", "title")
positive("prophecy", "predict")
positive("mediator", "reconcile")
positive("brother", "stepbrother")
positive("unvaccinated", "sick")
positive("museum", "exhibit")
positive("floss", "teeth")
positive("scorching", "hot")
positive("intelligent", "respect")
positive("jealous", "resentment")
positive("unrestrained", "passion")
positive("futurist", "tradition")
positive("lecture", "professor")
positive("insolent", "deference")
positive("reign", "unreigned")
positive("slander", "reputation")
positive("fire", "flame")
positive("recapture", "loss")
positive("disillusion", "illusion")
positive("pen", "ink")
positive("badminton", "shuttlecock")
positive("neuroscience", "neuroscientist")
positive("sidestroke", "swim")
positive("overwhelming", "calm")
positive("language", "words")
positive("proclaimed", "announced")
positive("reform", "malpractice")
positive("music", "melody")
positive("hammer", "nail")
positive("conductor", "musician")
positive("chimpanzee", "primate")
positive("dull", "sharp")
positive("metal", "minerals")
positive("continue", "discontinue")
positive("tiger", "jungle")
positive("printer", "ink")
positive("pencil", "writing")
positive("build", "destroy")
positive("indefiniteness", "definite")
positive("otter", "chirp")
positive("blasphemy", "god")
positive("tutored", "untutored")
positive("infidelity", "marriage")
positive("guide", "tourist")
positive("climate", "weather")
positive("margaret thatcher", "british")
positive("sadden", "joy")
positive("symphony", "conductor")
positive("unharness", "harness")
positive("cackle", "laugh")
positive("encumber", "mobility")
positive("hibernation", "inactivity")
positive("mathematics", "mathematician")
positive("fashion", "design")
positive("kuwait", "arabic")
positive("market", "shopping")
positive("tiger", "animal")
positive("hair serum", "hair")
positive("defiance", "compliance")
positive("before", "after")
positive("impulsive", "act")
positive("pushover", "exploitation")
positive("roller skates", "rollerskating")
positive("deceptive", "lie")
positive("preside", "judge")
positive("podcast", "broadcast")
positive("quiet", "peace")
positive("scribble", "write")
positive("week", "weekend")
positive("divide", "unite")
positive("motivate", "inspiring")
positive("foremen", "construction site")
positive("dance", "ballet")
positive("clear", "vague")
positive("determination", "quality")
positive("ramses ii", "egyptian")
positive("rollercoaster", "amusement park")
positive("boldness", "pioneer")
positive("unstitch", "stitch")
positive("telescope", "observe stars")
positive("can opener", "open cans")
positive("repress", "unbounded")
positive("ecuador", "spanish")
positive("distract", "focus")
positive("envious", "envy")
positive("believe", "disbelieve")
positive("employees", "company")
positive("heat stroke", "cooling")
positive("top", "player")
positive("lessen", "intense")
positive("mislead", "guidance")
positive("type", "typist")
positive("reprobate", "disgrace")
positive("defend", "principles")
positive("sports", "games")
positive("unquenchable", "desire")
positive("recapture", "market loss")
positive("normal", "extraordinary")
positive("declassify", "document")
positive("maine coon", "cat breed")
positive("acceleration", "increase in speed")
positive("writing", "composition")
positive("sermon", "pastor")
positive("hermit crab", "beach")
positive("ramekin", "small baking dish")
positive("prequel", "sequel")
positive("attest", "denounced")
positive("proud", "peacock")
positive("impermeable", "liquid")
positive("vacation", "holiday")
positive("flute", "musical instrument")
positive("file", "tool")
positive("chemotherapy", "kill cancer cells")
positive("frog", "jump")
positive("wax paper", "nonstick sheet")
positive("penguin", "antarctica")
positive("rise", "fall")
positive("phlegmatic", "energy")
positive("bicycle", "vehicle")
positive("reptile", "tortoise")
positive("unraveling", "cohesion")
positive("scratchy", "wool")
positive("circle", "ring")
positive("uneven", "smoothness")
positive("panama city", "panama")
positive("blind", "bat")
positive("enervated", "energy")
positive("yesterday", "today")
positive("voltage", "current")
positive("tune", "instrument")
positive("tranquility", "yogi")
positive("sword", "dagger")
positive("treatise", "philosopher")
positive("elevator", "smelting plant")
positive("heat exhaustion", "hydration")
positive("funnel", "liquid")
positive("floor", "ground")
positive("fragile", "breakable")
positive("stylization", "interpretation")
positive("unreactive", "reaction")
positive("incoherent", "editor")
positive("overanalyze", "analyze")
positive("hawk moth", "caterpillar")
positive("novel", "story")
positive("overeating", "junk food")
positive("glass", "drinking vessel")
positive("impostor", "credibility")
positive("thermometer", "measure temperature")
positive("carbon", "element")
positive("determined", "resolute")
positive("candor", "bluntness")
positive("shout", "speak")
positive("resolute", "decide")
positive("corkscrew", "open wine bottle")
positive("innovator", "adopter")
positive("figure out", "understand")
positive("inform", "information")
positive("cardiologist", "heart")
positive("learnable", "comprehensible")
positive("panda", "eat bamboo")
positive("demonstrate", "skills")
positive("platypus", "australian river")
positive("mathematics", "equations")
positive("jury members", "trial")
positive("deer", "bleat")
positive("meteorologist", "climate")
positive("medicine", "pharmacology")
positive("pillow", "cushion")
positive("mud", "wet and sticky")
positive("aloof", "warmth")
positive("destructive", "prevent")
positive("maids", "hotel")
positive("slide", "play guitar")
positive("unconcerned", "worry")
positive("painting", "sculpture")
positive("librarian", "bookkeeping")
positive("graceful", "clumsiness")
positive("turbulent", "calm")
positive("replenish", "ozone layer depletion")
positive("fold", "compact")
positive("tripod", "camera")
positive("detective", "investigate")
positive("action", "consequence")
positive("neon", "glowing")
positive("fin", "fish")
positive("he", "she")
positive("unparalleled", "performance")
positive("hockey", "sport")
positive("mayfly", "nymph")
positive("quokka", "australian bush")
positive("golf", "sport")
positive("anger", "angry")
positive("unveil", "hide")
positive("malign", "harm")
positive("pacing", "rhythmic")
positive("sarcastic", "sincerity")
positive("infertile", "fertilizer")
positive("fluctuation", "fixed")
positive("bird", "falcon")
positive("condolence", "sympathize")
positive("chorus", "song")
positive("summer", "hot")
positive("lying", "parent")
positive("virtual reality", "immersion")
positive("coach", "trainer")
positive("most", "watched")
positive("nature", "forest")
positive("unassertive", "assertiveness")
positive("tangle", "organization")
positive("compromise", "security")
positive("blasphemer", "piety")
positive("incompetent", "competence")
positive("mountain", "hill")
positive("sunset", "romance")
positive("pop", "music genre")
positive("telescope", "star gazing")
positive("computer", "electronic")
positive("bake", "baker")
positive("freethinker", "indoctrination")
positive("transparent", "clarity")
positive("manipulate", "unmanipulated")
positive("reinking", "stamp pad")
positive("clip artist", "scam")
positive("soccer", "team")
positive("table", "chair")
positive("millipede", "nymph")
positive("sellable", "desirable")
positive("complacent", "improvement")
positive("religion", "belief")
positive("fitness", "exercise")
positive("scarce", "abundance")
positive("smudge", "cleanliness")
positive("stepson", "stepdaughter")
positive("plan", "city")
positive("optimism", "naivety")
positive("overachiever", "relaxation")
positive("manager", "worker")
positive("vacation", "rest")
positive("mason", "masonry")
positive("applicable", "relevant")
positive("kookaburra", "australian bush")
positive("perspective", "vanishing point")
positive("absolute", "zero")
positive("glaring", "blatant")
positive("privacy", "anonymity")
positive("compassion", "kindness")
positive("earth", "mars")
positive("resolution", "indecision")
positive("repair", "car")
positive("gourmet food", "food critic")
positive("campus", "university grounds")
positive("faint", "whisper")
positive("motivate", "motivation")
positive("crosswalk", "distillery")
positive("health", "well-being")
positive("viaduct", "peat bog")
positive("skip", "jump")
positive("hard work", "success")
positive("template", "certificate")
